docid	hathi_author	hathi_title	firstpub	pubdate_known	heading
osu.32435056660970	Hill, Grace Livingston	Brentwood	1937	False	Family life
wu.89099760266	Hurst, Fannie	Great laughter	1936	True	Family life
uc1.$b56375	Chidester, Ann	No longer fugitive	1943	True	Family life
uc1.$b243329	Johnson, Josephine Winslow	Now in November	1934	True	Fantasies
uc1.$b301846	Merrick, Elliott	From this hill look down	1934	True	Fantasies
wu.89052491800	North, Sterling	Plowing on Sunday	1934	True	Fantasies
mdp.39015030141710	Dunsany, Edward John Moreton Drax Plunkett, Baron	Rory and Bran	1936	True	Fantasies
mdp.39015024524640	Wells, H. G. (Herbert George)	The croquet player	1936	True	Fantasies
pst.000022830753	Wells, H. G. (Herbert George)	Star-begotten	1937	True	Fantasies
uc1.$b604952	Lewis, C. S. (Clive Staples)	Out of the silent planet	1943	True	Fantasies
mdp.39015022199973	Nathan, Robert	But gently day	1943	True	Fantasies
uc1.b3834531	Forester, C. S. (Cecil Scott)	Beat to quarters	1937	True	Historical novels
mdp.39015007028577	Roberts, Kenneth Lewis	Northwest passage	1937	True	Historical novels
mdp.39015059405681	Kaye-Smith, Sheila	Superstition corner	1934	True	Historical novels
inu.32000001709460	Mundy, Talbot	Tros of Samothrace	1934	True	Historical novels
uc1.$b800611	Burnett, W. R. (William Riley)	The Goodhues of Sinking creek	1934	True	Historical novels
mdp.39015063527736	Chambers, Robert W. (Robert William)	Secret service operator 13	1933	True	Historical novels
uc1.$b615632	Mann, Heinrich	Young Henry of Navarre	1937	True	Historical novels
mdp.39015063917713	Ertz, Susan	No hearts to break	1937	True	Historical novels
mdp.39015064537056	Frischauer, Paul	A great lord	1937	True	Historical novels
uc1.$b784309	Golding, Louis	The dance goes on	1936	True	Historical novels
uc1.$b106003	Thomason, John W. (John William)	Gone to Texas	1937	True	Historical novels
uc1.b3687692	Forbes, Esther	Paradise	1937	True	Historical novels
mdp.39015063916780	Dowdey, Clifford	Bugles blow no more	1937	True	Historical novels
uc1.$b63928	Sullivan, Alan	Three came to Ville Marie	1942	True	Historical novels
mdp.39015030847415	Balchin, Nigel	The Borgia testament	1948	True	Historical novels
mdp.39015014438777	Duggan, Alfred Leo	Knight with armour	1950	True	Historical novels
uc1.$b243154	Held, John	The gods were promiscuous	1937	True	Humor
mdp.39015010838343	Romains, Jules	The boys in the back room	1937	True	Humor
mdp.39015066059018	Thirkell, Angela	August folly;	1936	True	Humor
uc1.b3727971	Shulman, Max	Barefoot boy with cheek	1943	True	Humor
uc1.$b794462	Cloete, Stuart	The turning wheels	1937	True	Locality, Africa
mdp.39015014603446	Cloete, Stuart	Congo song	1943	True	Locality, Africa
osu.32435012836037	Marquand, John P. (John Phillips)	Think fast, Mr. Moto	1937	True	Locality, Asia
uc1.b4437848	Prokosch, Frederic	The seven who fled	1937	True	Locality, Asia
uc1.b3727342	Weston, Christine	Indigo	1943	False	Locality, Asia
mdp.39015000606601	Pritchett, V. S. (Victor Sawdon)	Dead man leading;	1937	True	Locality, Brazil
mdp.39015054459105	Beals, Carleton	Dawn over the Amazon	1943	True	Locality, Brazil
uc1.$b105824	Ullman, James Ramsey	River of the sun	1950	True	Locality, Brazil
mdp.39015005905305	Waugh, Evelyn	A handful of dust	1934	True	Locality, Brazil
uc1.$b322838	Blaker, Richard	Night shift	1934	True	Locality, England
uc1.b3872832	Hodson, James Lansdale	Harvest in the north	1934	True	Locality, England
inu.32000004617686	Gibbons, Stella	Bassett	1933	True	Locality, England
uc1.b3834592	Cronin, A. J. (Archibald Joseph)	The citadel	1937	True	Locality, England
uc1.b3759999	Aldington, Richard	Very heaven	1937	True	Locality, England
mdp.39015031223806	Bentley, Phyllis Eleanor	A modern tragedy	1934	True	Locality, England
inu.32000009651318	Maugham, W. Somerset, (William Somerset)	Theatre	1937	True	Locality, England
mdp.39015030736147	Calder-Marshall, Arthur	Pie in the sky	1937	True	Locality, England
uc1.32106001985891	Goudge, Elizabeth	A city of bells	1936	True	Locality, England
inu.32000000863623	Wodehouse, P. G., (Pelham Grenville)	Summer moonshine	1937	True	Locality, England
mdp.39015031231130	Deeping, Warwick	The woman at the door	1937	True	Locality, England
mdp.39015030846714	Boyd, Martin	The picnic	1937	True	Locality, England
uc1.$b784230	Hilton, James	Without armor	1934	True	Locality, Europe
uc1.b3810808	Briffault, Robert	Europa in limbo	1937	True	Locality, Europe
mdp.39015000551526	Bridge, Ann	Enchanter's nightshade	1937	True	Locality, Europe
uc1.$b74566	Frank, Bruno	Lost heritage;	1937	True	Locality, Europe
mdp.39015002647447	Remarque, Erich Maria	Three comrades	1937	True	Locality, Europe
umn.319510010442998	Bernanos, Georges	The diary of a country priest	1937	True	Locality, Europe
mdp.39015066059596	Roberts, Cecil	Victoria, four-thirty	1937	True	Locality, Europe
uc1.$b473469	Lothar, Ernst	Beneath another sun	1943	True	Locality, Europe
uc1.$b86095	Brennan, Frederick Hazlitt	Memo to a firing squad	1943	True	Locality, Europe
mdp.39015013003994	Hughes, Paul	Retreat from Rostov	1943	True	Locality, Europe
uc1.$b106265	Morris, Edita	My darling from the lions	1943	True	Locality, Europe
mdp.39015030727955	Chase, Mary Ellen	Mary Peters	1934	True	Locality, US
mdp.39015002260167	Steinbeck, John	Of mice and men	1937	True	Locality, US
uc1.$b104464	Flavin, Martin	Journey in the dark	1943	True	Locality, US
mdp.39015010410630	Hemingway, Ernest	To have and have not	1937	True	Locality, US
uc1.$b105413	Stong, Phil	Buckskin breeches	1937	True	Locality, US
uc1.$b101589	Dowdey, Clifford	Tidewater	1943	True	Locality, US
uc1.$b610327	Levin, Meyer	The old bunch	1937	True	Locality, US
uc1.$b100728	Fowler, Gene	Salute to yesterday	1937	True	Locality, US
uc1.$b86321	Caldwell, Erskine	Georgia boy	1943	True	Locality, US
mdp.39015030739042	Dell, Floyd	The golden spike	1934	True	Locality, US
uc1.$b299768	Cannon, Le Grand	A mighty fortress	1937	True	Locality, US
uc1.$b101683	Dobie, Charles Caldwell	San Francisco adventures	1937	True	Locality, US
mdp.39076002199201	Fernald, Helen Clark	Smoke blows west	1937	True	Locality, US
uc1.$b322869	Bristow, Gwen	Deep summer	1937	True	Locality, US
mdp.39015063945656	Parmenter, Christine (Whiting), Mrs	Swift waters	1937	True	Locality, US
uc1.$b103009	Horgan, Paul	A lamp on the plains	1937	True	Locality, US
uc1.b3727782	Richter, Conrad	The sea of grass	1936	True	Locality, US
uc1.$b56295	Appel, Benjamin	Runaround	1937	True	Locality, US
uc1.$b236104	Coolidge, Dane	The trail of gold	1937	True	Locality, US
uc1.b4095561	Grey, Zane	West of the Pecos	1937	True	Locality, US
uc1.$b299881	Corbett, Elizabeth Frances	Golden grain	1943	True	Locality, US
uc1.$b56368	Carroll, Gladys Hasty	Dunnybrook	1943	True	Locality, US
uc1.$b102105	Keyes, Frances Parkinson	Also the hills	1943	True	Locality, US
uc1.$b298800	Goldsmith, Martin M	Shadows at noon	1943	True	Locality, US
mdp.39015005023513	Stegner, Wallace Earle	The Big Rock Candy mountain	1943	True	Locality, US
mdp.39015031306213	Warren, Robert Penn	At heaven's gate	1943	True	Locality, US
osu.32435055409122	Brand, Max	Brothers on the trail	1933	True	Locality, US
mdp.39015020091008	Norris, Kathleen Thompson	Manhattan love song	1934	True	Love stories
mdp.39015030091006	Cohen, Octavus Roy	Transient lady	1934	True	Love stories
mdp.39015063977592	Pedler, Margaret (Bass) Mrs	Distant dawn	1934	True	Love stories
mdp.39015063936689	Norris, Kathleen Thompson	Bread into roses	1937	True	Love stories
mdp.39015032508734	Walsh, Maurice	Trouble in the glen	1950	True	Love stories
mdp.39015022466539	Hughes, Rupert	Love song	1934	True	Musicians
uc1.$b57044	Hurst, Fannie	Anitra's dance	1934	True	Musicians
uc1.32106001965497	Allingham, Margery	Death of a ghost	1934	True	Mystery and detective stories
mdp.39015000682040	Christie, Agatha	Mr. Parker Pyne, detective	1934	True	Mystery and detective stories
mdp.39015008016746	Christie, Agatha	Murder in the Calais coach	1934	True	Mystery and detective stories
mdp.49015002953033	Christie, Agatha	Murder in three acts	1934	True	Mystery and detective stories
mdp.39015063573045	Eberhart, Mignon (Good), Mrs	The cases of Susan Dare	1934	True	Mystery and detective stories
mdp.39015063746427	Fielding, Archibald	The Tall house mystery	1933	True	Mystery and detective stories
mdp.39015063957180	Fletcher, J. S. (Joseph Smith)	Murder of the secret agent	1934	True	Mystery and detective stories
mdp.39015063514742	Footner, Hulbert	Murder runs in the family	1934	True	Mystery and detective stories
mdp.39015066051387	Gardner, Erle Stanley	The case of the curious bride	1934	True	Mystery and detective stories
osu.32435009306499	Gielgud, Val Henry	The ruse of the vanished women	1934	True	Mystery and detective stories
osu.32435066780875	Keeler, Harry Stephen	The mystery of the fiddling cracksman	1934	True	Mystery and detective stories
mdp.39015049845632	Keeler, Harry Stephen	The riddle of the traveling skull	1934	True	Mystery and detective stories
mdp.39015063940400	Lowndes, Marie Belloc	Another man's wife	1934	True	Mystery and detective stories
mdp.39015000540206	Palmer, Stuart	The puzzle of the silver Persian	1934	True	Mystery and detective stories
mdp.39015050810707	Queen, Ellery	The Chinese orange mystery	1934	True	Mystery and detective stories
uc1.32106001965489	Allingham, Margery	Dancers in mourning	1937	True	Mystery and detective stories
mdp.39015063526027	Bailey, H. C. (Henry Christopher)	The twittering bird mystery	1937	True	Mystery and detective stories
inu.30000035044217	Chesterton, G. K. (Gilbert Keith)	The paradoxes of Mr. Pond	1936	True	Mystery and detective stories
pst.000030844193	Christie, Agatha	Cards on the table	1936	True	Mystery and detective stories
mdp.49015002952977	Christie, Agatha	Dead man's mirror	1931	False	Mystery and detective stories
uc1.b4381484	Cobb, Irvin S. (Irvin Shrewsbury)	Judge Priest turns detective	1937	True	Mystery and detective stories
mdp.39015011691626	Cole, G. D. H. (George Douglas Howard)	The brothers Sackville	1936	True	Mystery and detective stories
mdp.39015063942844	Fielding, Archibald E	Mystery at the rectory	1936	True	Mystery and detective stories
mdp.39015063915378	Fitzsimmons, Cortland	The moving finger	1937	True	Mystery and detective stories
mdp.39015005406429	Heyer, Georgette	The unfinished clue	1933	True	Mystery and detective stories
osu.32435066780511	Keeler, Harry Stephen	The defrauded yeggman	1937	True	Mystery and detective stories
mdp.39015063891116	Knight, Clifford	The affair of the scarlet crab	1937	True	Mystery and detective stories
mdp.39015063956554	Stewart, Alfred W. (Alfred Walter)	A minor operation	1937	True	Mystery and detective stories
mdp.39015005148385	Stewart, J. I. M. (John Innes Mackintosh)	Hamlet, revenge!	1937	True	Mystery and detective stories
osu.32435067907915	Avery, Robert	Murder on the downbeat	1943	False	Mystery and detective stories
mdp.39015054020717	Daly, Elizabeth	Evidence of things seen	1943	True	Mystery and detective stories
pst.000005730513	Fitzsimmons, Cortland	Tied for murder	1943	True	Mystery and detective stories
mdp.39015031442489	Grafton, C. W. (Cornelius Warren)	The rat began to gnaw the rope	1943	True	Mystery and detective stories
mdp.39015071561297	Magoon, Carey	I smell the devil	1943	False	Mystery and detective stories
uc1.$b242630	Marks, Percy	Knave of diamonds	1943	True	Mystery and detective stories
mdp.39015008387188	Marsh, Ngaio	Colour scheme	1943	True	Mystery and detective stories
mdp.39015061869247	Morse, F. V. (Florence Vorpe)	Black eagles are flying	1943	False	Mystery and detective stories
uc1.b4091263	Offord, Lenore Glen	Skeleton key	1943	False	Mystery and detective stories
uc1.$b685799	Phillpotts, Eden	Flower of the gods	1943	True	Mystery and detective stories
pst.000012720910	Rice, Craig	Murder through the looking glass	1943	False	Mystery and detective stories
uc1.b3451513	Keeble, John	Yellowfish	1980	True	post1980mystery
mdp.39015063100286	Jeffers, H. Paul (Harry Paul)	Rubout at the Onyx	1981	True	post1980mystery
pst.000049620795	Beechcroft, William	Position of ultimate trust : a novel of suspense	1981	False	post1980mystery
uc1.32106017934123	Rule, Ann	Possession : a novel	1983	False	post1980mystery
uc1.32106013093197	Ellroy, James	Blood on the moon	1984	False	post1980mystery
mdp.39015061468917	Nabb, Magdalen	Death in autumn	1984	False	post1980mystery
uc1.32106007070599	Tapply, William G	The Dutch Blue Error	1984	False	post1980mystery
mdp.39015061469980	Vachss, Andrew H	Flood	1985	False	post1980mystery
inu.30000036943342	Burke, James Lee	The neon rain	1987	True	post1980mystery
mdp.39015062465714	Beinhart, Larry	You get what you pay for	1988	True	post1980mystery
pst.000056601855	Roosevelt, Elliott	"New deal for death : a ""Blackjack"" Endicott novel"	1990	True	post1980mystery
pst.000056620054	McCrumb, Sharyn	Missing Susan	1991	True	post1980mystery
mdp.39015073495619	Townsend, Larry	The sexual adventures of Sherlock Holmes	1993	False	post1980mystery
mdp.39015061860378	Zimmerman, R. D. (Robert Dingwall)	Red trance	1994	False	post1980mystery
mdp.39015061000421	Baantjer, A. C	DeKok and the dying stroller	1994	False	post1980mystery
mdp.39015058117576	Lovett, Sarah (Sarah Poland)	Dangerous attachments	1995	True	post1980mystery
mdp.39015069112384	Baantjer, A. C	DeKok and murder in seance	1996	False	post1980mystery
mdp.39015037445304	Sandford, John	Sudden prey	1996	False	post1980mystery
mdp.39015063100245	Reiss, Bob	Purgatory Road	1996	False	post1980mystery
mdp.39015061017839	Martin, David Lozell	Cul-de-sac	1997	True	post1980mystery
uc1.32106018079811	Sladek, John Thomas	The complete Roderick	1980	False	post1980sSF
pst.000025687200	Bradley, Marion Zimmer	Thendara house	1983	False	post1980sSF
mdp.39015056801973	Mann, Phillip	The eye of the queen	1983	False	post1980sSF
uc1.32106016538131	Bujold, Lois McMaster	Falling free	1988	True	post1980sSF
pst.000043365319	Crichton, Michael	Jurassic Park	1990	True	post1980sSF
mdp.39015022267952	Silverberg, Robert	The face of the waters	1991	True	post1980sSF
uc1.32106015381764	Swanwick, Michael	Stations of the tide	1991	True	post1980sSF
uc1.32106017218352	Cadigan, Pat	Synners	1991	False	post1980sSF
mdp.39015029453845	McCaffrey, Anne	Crystal line	1992	True	post1980sSF
uc1.32106010189048	Varley, John	Steel beach	1992	True	post1980sSF
mdp.39015062495752		Snow white, blood red	1993	False	post1980sSF
inu.30000041175120	Harrison, Harry	The stainless steel rat sings the blues	1994	True	post1980sSF
mdp.39015034258619	McDevitt, Jack	The engines of God	1994	True	post1980sSF
uc1.32106015482331	Tepper, Sheri S	Shadow's end	1994	True	post1980sSF
mdp.39015034512692	Anderson, Kevin J	Darksaber	1995	True	post1980sSF
mdp.39015048537602	Simmons, Dan	Endymion	1995	False	post1980sSF
mdp.39015037768119	Perry, Steve	Shadows of the empire	1996	True	post1980sSF
mdp.39015038013325	Hegland, Jean	Into the forest : a novel	1996	False	post1980sSF
mdp.39015047866861	Simmons, Dan	The rise of Endymion	1997	True	post1980sSF
mdp.39015047717866	Hopkinson, Nalo	Brown girl in the ring	1998	True	post1980sSF
uc1.b3401126	Bell, Eric Temple	Before the dawn	1934	True	Prehistoric times
mdp.39015031233805	Fisher, Vardis	Darkness and the deep	1943	True	Prehistoric times
uc1.$b244760	Strong, L. A. G. (Leonard Alfred George)	Corporal tune	1934	True	Psychological novels
uc1.b4089439	Cozzens, James Gould	Castaway	1934	True	Psychological novels
mdp.39015030842986	Bottome, Phyllis	Private worlds	1934	True	Psychological novels
uc1.$b86105	Brier, Royce	Last boat from Beyrouth	1943	False	Psychological novels
uc1.$b104251	Fisher, Vardis	Passions spin the plot	1934	True	Psychological novels
uc1.b3687705	Frank, Waldo David	The death and birth of David Markand	1934	True	Psychological novels
uc1.$b80861	Green, Julien	The dreamer	1934	True	Psychological novels
uc1.b4381887	Hale, Nancy	Never any more	1934	True	Psychological novels
uc1.$b103848	Jesse, F. Tennyson (Fryniwyd Tennyson)	A pin to see the peepshow	1934	True	Psychological novels
uc1.$b102386	Knight, Eric	Invitation to life	1934	True	Psychological novels
mdp.39015031301743	Rinehart, Mary Roberts	The state versus Elinor Norton	1934	True	Psychological novels
mdp.39015010824095	Bowles, Jane Auer	Two serious ladies	1943	False	Psychological novels
uc1.$b56703	Golding, Louis	No news from Helen	1943	True	Psychological novels
mdp.39015030104643	Koestler, Arthur	Arrival and departure	1943	True	Psychological novels
uc1.$b106144	Weidman, Jerome	The lights around the shore	1943	True	Psychological novels
uc1.$b798910	Corle, Edwin	Three ways to Mecca	1947	True	Psychological novels
mdp.39015051143454	Buchan, John	The Free fishers	1934	True	Romance
uc1.$b105330	Macaulay, Rose, Dame	Going abroad	1934	True	Romance
uc1.b4088950	Sabatini, Rafael	The lost king	1937	True	Romance
mdp.39015023962817	Farnol, Jeffery	Winds of chance	1934	True	Sea stories
uc1.$b245297	Laskier, Frank	Log book	1943	False	Sea stories
mdp.39015059392293	Davis, Clyde Brion	The anointed	1937	True	Sea stories
uc1.$b56632	Hawkins, John	Pilebuck	1943	False	Sea stories
uc1.b3710722	Kyne, Peter B. (Peter Bernard)	Cappy Ricks comes back	1934	True	Short stories
uc1.$b104232	Fisher, Dorothy Canfield	Fables for parents	1937	True	Short stories
mdp.39015030850286	Atherton, Gertrude Franklin Horn	The foghorn	1934	True	Short stories
uc1.b3144882	Armstrong, Martin Donisthorpe	General Buntop's miracle and other stories	1934	True	Short stories
uc1.b4395868	Bunin, Ivan Alekseevich	Grammar of love	1934	True	Short stories
mdp.39015010218678	Cobb, Irvin S. (Irvin Shrewsbury)	Faith, hope and charity	1934	True	Short stories
uc1.$b101587	Edmonds, Walter Dumaux	Mostly canallers;	1934	True	Short stories
uc1.$b803090	Miller, Alice Duer, Mrs	Come out of the pantry	1933	True	Short stories
mdp.39015010204546	Pirandello, Luigi	The naked truth and eleven other stories	1934	True	Short stories
uc1.32106014501446	Stead, Christina	The Salzburg tales	1934	True	Short stories
uc1.$b63950	Thomason, John W. (John William)	Salt winds and Gobi dust	1934	True	Short stories
mdp.39015030710035	Rinehart, Mary Roberts	Married people	1937	True	Short stories
mdp.39015002717802	Rinehart, Mary Roberts	Tish marches on	1937	True	Short stories
mdp.39015002756834	Saroyan, William	Little children	1937	True	Short stories
uc1.$b105466	Sheean, Vincent	The pieces of a fan	1937	True	Short stories
mdp.39015042556715	Werfel, Franz	Twilight of a world	1937	True	Short stories
mdp.39015001668964	Wodehouse, P. G., (Pelham Grenville)	The crime wave at Blandings	1937	True	Short stories
inu.32000014240065	Bates, H. E. (Herbert Ernest)	There's something in the air	1943	True	Short stories
uc1.$b116692	Goodman, Jack	The fireside book of dog stories	1943	False	Short stories
mdp.39015000636350	Leacock, Stephen	Happy stories, just to laugh at	1943	True	Short stories
uc1.$b105315	Lowndes, Marie Belloc	What of the night?	1943	True	Short stories
mdp.39015013517944	Bowen, Elizabeth	Early stories	1950	True	Short stories
mdp.39015063945649	Parker, Maude	Impersonation of a lady	1934	True	Small-town life
mdp.39015059406523	Partridge, Bellamy	Horse and buggy	1937	True	Small-town life
osu.32435005202460	Mannin, Ethel	Women also dream	1937	True	Women
mdp.39015063986411	Worthington, Marjorie Muir	Manhattan solo	1937	True	Women
uc1.32106002241526	Plivier, Theodor	Stalingrad	1948	True	World war, 1939-1945
uc1.$b56556	Fernald, John	Destroyer from America	1942	False	World war, 1939-1945
mdp.39015063937067	Pratt, Theodore	Mr. Winkle goes to war	1943	True	World war, 1939-1945
mdp.39015002710740	Priestley, J. B. (John Boynton)	Daylight on Saturday	1943	True	World war, 1939-1945
