"topicstats"	"keywords"	"top7books"	"next5books, biggestauth, datequartiles"	"label"	"category"	"comments"
"TOPIC 0 pct corpus = 0.267% doc entropy = 9.8055 word length = 5.2200 coherence = -32429.4582 rank 1 docs = 0.0076 r1 ratio = 2.846"	"war german french germans france germany american english british country army england world hitler europe america soldiers americans berlin military soldier paris camp uniform peace still news our days many nazi men officer papers russia against came because fighting government new russian nazis under perhaps these russians old told killed get being fight london states red going foreign great years must officers home enemy know last air nations front holland "	"0.136 | Gibbs, Philip | Through the storm | 1945 0.13 | Meyers, Edward. [from old cata | From autocracy to democracy; | 1919 0.129 | Macdonald, Mina | Some experiences in Hungary | 1916 0.128 | Hindus, Maurice Gerschon | We shall live again | 1939 0.127 | Zbyszewski, Karol | The fight for Narvik; impressions | 1940 0.121 | Nivelle, Robert | And yet France smiled | 1944 0.121 | Barnes, Carolyn | Laura Secord | 1981 "	"0.12 | Sweetser, Arthur | Roadside glimpses of the great wa | 1916 0.115 | Ganier-Raymond, Philippe | The tangled web; | 1968 0.112 | Sinclair, Upton | Dragon harvest | 1945 0.111 | Sinclair, Upton | Presidential mission | 1947 0.111 | Gibbs, Philip | The amazing summer, a novel | 1941 Sinclair, Upton = 3.15% 1918-1957"	"war, mostly WWII"	"historical event"	"Although hitler and nazi are keywords, we can tell from the date quartiles that this  topic is not entirely restricted to WWII.  But it still seems fair to categorize it under event, because a war generally is one--whenever it happens."
"TOPIC 1 pct corpus = 0.288% doc entropy = 9.7455 word length = 5.2350 coherence = -29677.0562 rank 1 docs = 0.0085 r1 ratio = 2.951"	"professor man quite something thing old little sort must may say might mind rather these himself think course perhaps fellow bell great fact things nothing such world dear suppose should doubt most believe found seemed really case matter young science see know round am idea made scientific heath point moment indeed certain certainly good just whole got how our laboratory queer why human table find friend mean head make curious "	"0.177 | Stewart, J. I. M. (John Innes  | Hare sitting up | 1959 0.17 | Odle, E. V | The clockwork man | 1923 0.169 | Wells, H. G. (Herbert George) | The Camford visitation | 1937 0.164 | Stewart, J. I. M. (John Innes  | Appleby on Ararat | 1941 0.154 | Innes, Michael | Appleby on Ararat | 1941 0.148 | Stewart, J. I. M. (John Innes  | The daffodil affair | 1942 0.148 | Stewart, J. I. M. (John Innes  | The guardians, a novel | 1955 "	"0.147 | Wells, H. G. (Herbert George) | Star-begotten | 1937 0.145 | Stewart, J. I. M. (John Innes  | Appleby's end: a novel | 1945 0.136 | Stewart, J. I. M. (John Innes  | Hamlet, revenge! | 1937 0.136 | Chesterton, G. K. (Gilbert Kei | Tales of the long bow | 1925 0.127 | Chesterton, G. K. (Gilbert Kei | The paradoxes of Mr. Pond | 1936 Stewart, J. I. M. (John Innes  = 1.83% 1912-1937"	"e20c scientists, labs, and professors, mostly in British SF and mystery"	"genre"	"I've changed my mind here twice. The topic is spread across science fiction and mystery. *We* ordinarily call these distinct genres. But it highlights something SF has in common with e20c mystery: an interest in sage/professor types (viz Sherlock Holmes). And I'm not sure it was clear  at the time these genres were distinct. Entropy is below 10 and r1 ratio above 2.6."
"TOPIC 2 pct corpus = 0.479% doc entropy = 10.4816 word length = 4.5600 coherence = -28834.1093 rank 1 docs = 0.0015 r1 ratio = 0.313"	"door put box paper hand took room went made pocket table its open book floor opened under take make found window top shop work read small hands came little get piece key held set something bag left away end let things began chair wall inside glass cut look place use turned another picked fingers side thing books finger corner gave first looked without these coat pen carefully old thorn desk "	"0.489 | Sellers, Tom | Unknown Title | 1927 0.332 | Judson, Clara (Ingram) | Sewing without mother's help; | 1921 0.321 | Burch, Monte | The outdoorsman's workshop | 1977 0.29 | Sïrdani, Sydney | Don't be fright; radio magic | 1946 0.264 | Unknown Author | Trims | 1971 0.261 | Goldsberry, Doran & Nelson. [f | The National garment cutter | 1884 0.178 | Potter, Beatrix | The tale of two bad mice | 1904 "	"0.122 | Axline, Virginia Mae | Dibs: in search of self | 1964 0.12 | Unknown Author | The big box / by Linda Cave | 1998 0.112 | Potter, Beatrix | The tale of Mrs. Tiggy-Winkle | 1905 0.11 | Pickthall, Marjorie L. C. (Mar | The worker in sandalwood | 1914 0.101 | Freeman, R. Austin (Richard Au | Mr. Polton explains | 1940 Freeman, R. Austin (Richard Au = 0.68% 1914-1960"	"objects in relation to doors, pockets, rooms, boxes, and bags"	"physical description"	"Notice relatively high document entropy, and  low number of rank 1 documents. This topic is spread across many books, rather than a genre. There is a little bit of nonfiction mixed in here, but some things that look like nonfic are actually  stories, and the topic is too widely dispersed  to worry that it's defined by the nonfic."
"TOPIC 3 pct corpus = 0.388% doc entropy = 9.3409 word length = 5.1800 coherence = -23407.5047 rank 1 docs = 0.0382 r1 ratio = 9.845"	"american people president our security re new asked most also just area states washington around government office information united first know man how world problem three need radio going both building those sure yes news get press country hell white group special call room phone operation desk right few staff americans team general u.s told intelligence control america agent set service report took military knew airport national work director us "	"0.297 | Digo, Benjamin | Creator of Nikho | 1992 0.27 | Brown, Dale | Fatal terrain | 1997 0.27 | Erdman, Paul Emil | The crash of '79 | 1976 0.263 | Flynn, Vince | Term limits | 1997 0.257 | Da Cruz, Daniel | Texas triumphant | 1989 0.257 | Clancy, Tom | Executive orders | 1996 0.247 | Clancy, Tom | Rainbow Six | 1998 "	"0.243 | Clancy, Tom | The sum of all fears | 1991 0.231 | Finder, Joseph | The zero hour : a novel | 1996 0.231 | Moss, Robert | Death beam | 1982 0.23 | Henley, Wallace | The Roman solution | 1984 0.221 | Streak, Michael | The firebrand effect | 1982 Clancy, Tom = 2.86% 1976-1991"	"late 20c US political thrillers"	"genre"	"Low doc entropy, high number of rank-1 docs; this is a genre. Tom Clancy, the words, the other titles, all point in the same direction."
"TOPIC 4 pct corpus = 0.666% doc entropy = 10.3139 word length = 4.7500 coherence = -24810.1178 rank 1 docs = 0.0131 r1 ratio = 1.967"	"man old people men because knew good always big himself know things woman made world thought white great something saw say wanted eyes talk black see thing looked many how little kind even life young sometimes face these told liked small look laughed tell own years name used ever most make women want why talked day bad nothing looking felt bond came those same country hard boy talking seen understand "	"0.157 | Hanley, Gerald | Drinkers of darkness | 1955 0.148 | Bulosan, Carlos | The power of the people | 1986 0.139 | Harris, Mark | Trumpet to the world | 1946 0.137 | Zelevansky, Paul | Monkey & man | 1992 0.136 | Field, Paul G | The higher you go, the fewer | 1979 0.135 | London, Jack | The strength of the strong | 1911 0.131 | Benét, Stephen Vincent | Johnny Pye & the Fool-killer | 1938 "	"0.123 | Onadipe, Kola | The king is naked : and other sto | 1985 0.123 | Saroyan, William | Peace, it's wonderful | 1939 0.117 | Unknown Author | Straight with the medicine : narr | 1978 0.117 | Benét, Stephen Vincent | The devil and Daniel Webster | 1937 0.117 | Fleming, Ian | For your eyes only : five secret  | 1960 Fleming, Ian = 0.34% 1932-1969"	"diffuse"	"uncategorized dimension of style"	"A pretty diffuse topic. The books come from different genres. What they have in common is, broadly, the middle of the 20c. Idk what to say, and it's okay to admit uncertainty."
"TOPIC 5 pct corpus = 0.621% doc entropy = 9.6317 word length = 5.1050 coherence = -18470.7608 rank 1 docs = 0.0684 r1 ratio = 11.014"	"without little eyes same those day even everything nothing longer felt seemed these moment whom already suddenly evening first order words still himself life went remained having going certain voice its almost made since being always alone silence such between young just whose days because end each few during whole heart become desire able toward also idea perhaps love smile really became once room took against pleasure began expression air "	"0.308 | D'Annunzio, Gabriele | The intruder | 1898 0.264 | Loti, Pierre | Ramuntcho | 1897 0.263 | Maupassant, Guy de | Beside Schopenhauer's Corpse | 1893 0.249 | Bourget, Paul | The land of promise | 1895 0.248 | Gracq, Julien | The castle of Argol | 1938 0.243 | Proust, Marcel | Pleasures and regrets | 1922 0.229 | D'Annunzio, Gabriele | The maidens of the rocks | 1898 "	"0.226 | Rod, Edouard | The sacrifice of silence | 1899 0.223 | Castro, Rosalía de | Daughter of the sea | 1885 0.223 | Maupassant, Guy de | Fort comme la mort; or, The rulin | 1893 0.221 | Proust, Marcel | The complete short stories of Mar | 1922 0.219 | Loti, Pierre | The book of pity & of death | 1892 Maupassant, Guy de = 2.08% 1895-1932"	"ambitious European writers, in translation"	"genre"	"This one is really very puzzling. French and Italian writers in translation, several of them sharing an interest in irony or regret. I don't know how they're being grouped! I even checked to see if they're all translated by the same person: apparently not! Lots of rank 1 docs; this is a genre!"
"TOPIC 6 pct corpus = 0.259% doc entropy = 8.7629 word length = 4.4600 coherence = -21495.9558 rank 1 docs = 0.0509 r1 ratio = 19.653"	"trail ranch cattle camp men horse country horses old rode man saddle big got range herd miles creek wagon cowboy red boys ride around corral little get texas reckon canyon good outfit west along wild town day toward cabin sure while wall night em water these shore sheriff riding rope few prairie sheep right brush cow dust bunch cowboys hard gun run bar river re far away across hell many "	"0.363 | Grey, Zane | The trail driver | 1936 0.315 | James, Will | The three mustangeers | 1933 0.309 | Adams, Andy | Wells brothers, the young cattle  | 1911 0.307 | James, Will | Smoky, the cowhorse | 1926 0.303 | Adams, Andy | The ranch on the beaver; a sequel | 1927 0.301 | James, Will | The American cowboy | 1942 0.291 | Grey, Zane | The lost wagon train | 1936 "	"0.285 | James, Will | Cow country | 1927 0.283 | Grey, Zane | Shadow on the trail | 1939 0.282 | Grey, Zane | West of the Pecos | 1937 0.28 | Coolidge, Dane | Arizona cowboys | 1938 0.271 | James, Will | Big-enough | 1931 Grey, Zane = 8.47% 1916-1936"	"The Western, e20c"	"genre"	"Not hard! Clear genre identity, high r1 ratio.   Zane Grey is big enough here that we might start to ask whether it's author-dominated, but I would say not. "
"TOPIC 7 pct corpus = 0.658% doc entropy = 10.1397 word length = 4.9000 coherence = -20733.6382 rank 1 docs = 0.0245 r1 ratio = 3.723"	"upon man door moment night face toward must eyes little came hand might voice until room turned light stood woman heard away men know house once cried saw place knew instant open girl words behind within fear hour sound quickly tell suddenly yet without passed forward darkness word find hands safe last figure followed found drew strange escape feet half against great whispered danger first held lips dark secret seemed "	"0.22 | Parrish, Randall | Gift of the desert | 1922 0.2 | Burroughs, Edgar Rice | Tarzan and the jewels of Opar | 1918 0.197 | Parrish, Randall | My lady of doubt | 1911 0.189 | Tyrrell, Ross | The pathway of adventure | 1920 0.185 | Curwood, James Oliver | The courage of Captain Plum | 1908 0.184 | Baum, L. Frank (Lyman Frank) | The fate of a crown | 1905 0.182 | Gibbs, George | The secret witness | 1917 "	"0.18 | Burroughs, Edgar Rice | Tarzan the terrible | 1921 0.178 | Parrish, Randall | Beyond the frontier; a romance of | 1915 0.173 | Tomlinson, Everett T. (Everett | The rider of the black horse; a s | 1904 0.169 | Rohmer, Sax | The hand of Fu-Manchu; being a ne | 1917 0.168 | Burroughs, Edgar Rice | Tarzan and the golden lion | 1923 Burroughs, Edgar Rice = 1.07% 1904-1919"	"E20c adventure fiction"	"genre"	"The topic is pretty widely diffused for a genre, with entropy above 10.  But the authors and words (suddenly, whispered, danger) tell a plain tale. Also tight chronologically, and r1 ratio above 3."
"TOPIC 8 pct corpus = 0.156% doc entropy = 10.2158 word length = 4.8600 coherence = -44868.0451 rank 1 docs = 0.0001 r1 ratio = 0.064"	"doctor dr patient case physician yes medical see take medicine room sick doctors good patients must call called just office better am right man tell help health took practice ill young should chair get professional course first wife told may old doc came once face asked little think death condition believe please few how fell poor hand cure give look fever eyes illness mind nurse thank strong made profession matter "	"0.102 | Henry, O | Let me feel your pulse | 1910 0.081 | Cook, Dutton | Milly Lance | 1883 0.073 | Jones, C. (Caleb) | Opisthophorus, or, The man who wa | 1909 0.073 | Bruce, George H | Lawyers, doctors and preachers; a | 1912 0.067 | Matthews, Brander | This picture and that : a comedy | 1894 0.066 | Austin, Anne | One drop of blood, a mystery nove | 1932 0.064 | Pickett, Montgomery | The fourth physician; | 1911 "	"0.061 | Phelps, Elizabeth Stuart | Doctor Zay | 1882 0.061 | Sothene, Oswold | The shrine of Aesculapius | 1905 0.059 | Dalrymple, Leona | When the yule log burns : a Chris | 1916 0.055 | Freeman, Mary Eleanor (Wilkins | Doc. Gordon | 1906 0.052 | Wilson, R. McNair (Robert McNa | The silver scale mystery | 1931 Carr, John Dickson = 0.34% 1899-1943"	"e20c medicine"	"technology"	"If there were no other topics on medicine, we might categorize this just as a 'human institution.' But this topic contrasts with a more hospital- centered version of medicine (#36), and that  contrast seems to express a technological change  across the period studied."
"TOPIC 9 pct corpus = 0.565% doc entropy = 10.0674 word length = 5.1500 coherence = -23722.3211 rank 1 docs = 0.0207 r1 ratio = 3.664"	"office work job man good business get should room got make course himself put quite telephone made secretary new take desk must point might rather first morning these evening company mind idea lunch case fact give own few moment men asked staff matter meeting think going position decided told wanted question without important table manager gave want see working right car lot department director firm thing really week find far "	"0.182 | Newman, Bernard | Second front, first spy | 1944 0.157 | Kirst, Hans Hellmut | No fatherland | 1970 0.153 | Scott, J. D. (John Dick) | The margin, a novel | 1949 0.15 | Hull, Richard | The unfortunate murderer | 1942 0.144 | Hackney, Alan | I'm all right Jack | 1958 0.144 | Mittelhölzer, Edgar | A morning in Trinidad | 1950 0.141 | Boulle, Pierre | William Conrad; | 1950 "	"0.138 | Boulle, Pierre | Not the glory; | 1955 0.138 | Mittelhölzer, Edgar | A morning at the office, a novel | 1950 0.138 | Dodge, Henry Irving | Skinner's big idea | 1918 0.137 | Christopher, John | Planet in peril | 1959 0.137 | Crofts, Freeman Wills | Crime on the Solent, an Inspector | 1934 Kirst, Hans Hellmut = 0.6% 1934-1968"	"life in organizations, mid-20c"	"human institutions, practices, or relationships"	"The first couple of books could tempt us to view this as 'spy fiction.' But that doesn't hold up with all of them. Some of these are just novels centered on office life or large organizations."
